x,y
837.357,1859.36
888.908,1701.52
876.349,1827.3
873.384,1748.54
809.413,1738.62
896.308,1796.94
774.149,1564.55
816.125,1826.44
822.61,1897.28
911.554,1832.83
858.662,1900.04
819.354,1811.18
875.28,1852.04
840.856,1886.86
893.451,1799.96
771.963,1685.65
845.418,1933.17
773.179,1735.79
884.534,1924.52
858.213,1785.38
808.85,1741.37
831.475,1852.31
736.897,1811.83
870.461,1835.67
843.056,1942.79
804.369,1844.97
762.463,1833.75
748.515,1813.22
816.744,1777.07
897.749,1882.54
849.248,1890.22
863.724,1870.96
744.37,1701.62
853.604,1782.24
811.119,1886.84
878.385,1919.39
905.293,1851.98
847.32,1854.97
777.201,1745.61
869.489,1880.64
885.839,1790.35
763.385,1854.33
774.74,1855.17
772.574,1759.91
853.117,1845.95
800.683,1862.68
844.383,1912.27
886.296,1914.3
799.072,1793.1
842.542,1845.78
803.216,1734.25
848.909,1739.71
868.359,1716.26
724.729,1838.67
816.761,1748.67
811.429,1788.41
726.901,1819.76
741.293,1760.56
821.237,1820.13
904.221,1911.49
900.742,1860.68
849.904,1802.55
816.936,1807.77
894.069,1840.32
946.569,1902.09
833.683,1872.54
849.779,1866.43
803.74,1672.16
847.169,1856.67
939.692,1924.48
780.836,1594.95
821.686,1800.9
855.797,1820.75
916.496,1925.66
865.081,1949.48
887.326,1813.89
763.551,1762.78
862.767,1851.94
844.025,1779.03
891.344,1922.07
759.416,1711.18
904.861,1871.4
819.142,1752.72
814.662,1856.91
770.627,1780.57
832.322,1704
856.736,1779.67
833.724,1807.97
854.079,1810.42
884.361,1873.64
707.674,1687.81
859.203,1865.84
772.843,1769.65
847.53,1761.28
848.862,1903.8
848.648,1866.4
795.037,1777.53
917.306,1873.51
851.894,1793.94
815.18,1839.31
821.325,1735.14
823.604,1750.83
851.04,1793.15
830.898,1755.37
783.008,1907.62
746.706,1742.94
904.174,1923.1
894.544,1804.55
869.702,1802.56
859.383,1831.2
865.912,1804.41
867.317,1906.51
868.092,1854.7
843.194,1846.95
785.637,1746.58
831.001,1770.3
897.004,1910.09
859.891,1841.09
840.917,1831.91
726.451,1791.26
798.189,1722.89
818.677,1771.78
839.65,1632.67
735.397,1765.17
882.511,1959.67
926.107,1960.24
830.243,1788.06
910.048,1909.18
872.116,1873.69
815.141,1736.2
844.086,1854.28
916.533,1861.04
814.863,1882.88
847.213,1795.23
803.112,1613.73
829.135,1861.62
856.038,1829.55
860.582,1883.68
861.155,1856.13
902.392,1804.19
764.612,1736.91
850.816,1796.18
870.01,1932.91
778.681,1697.65
730.831,1612.86
856.066,1825.92
776.907,1724.72
773.048,1871.1
847.173,1838.82
810.355,1959.03
731.941,1755.35
839.809,1818.49
866.847,1866.55
875.048,1728.06
878.018,1831.54
833.023,1822.23
896.839,1940.66
748.388,1754.73
895.78,1939.65
780.728,1723.08
798.435,1787.75
901.218,1841.28
844.863,1829.74
778.361,1892.46
745.664,1716.32
863.24,1773.04
788.832,1765.61
863.192,1676.34
839.654,1824.38
797.96,1730.26
893.762,1755.56
847.493,1884.57
818.451,1806.91
873.523,1860.06
861.417,1907.44
820.227,1729.15
897.214,1773.46
790.353,1749.65
803.954,1835.26
869.101,1881.99
855.124,1879.46
859.059,1802.5
801.637,1870.44
889.295,1885.48
854.916,1822.34
842.16,1928.54
832.158,1805
845.219,1843.78
883.025,1806.49
841.681,1817.65
882.675,1867.3
794.471,1738.91
901.042,1912.41
825.827,1714.39
885.534,1903.59
821.45,1778.74
861.586,1884.9
819.421,1809.82
885.482,1738.89
877.096,1853.89
863.282,1765.99
777.708,1784.73
834.745,1831.14
885.66,1823.13
837.182,1824.62
851.25,1761.98
785.286,1661.71
903.033,1876.29
803.224,1848
947.831,1980.98
753.287,1862.02
917.394,1921.39
804.197,1823.09
825.868,1781.92
792.852,1696.67
805.662,1714.15
878.73,1858.18
833.011,1800.25
782.375,1785.92
838.859,1790.51
775.903,1709.29
820.716,1740.26
780.196,1752.4
928.736,1895.27
835.711,1794.02
815.773,1852.09
840.638,1819.04
823.33,1826.54
802.912,1809.78
956.057,1965.11
774.917,1803.27
791.196,1714.53
782.918,1753.29
876.139,1942.09
783.539,1846.77
820.949,1867.14
835.676,1906.75
783.885,1662.79
814.548,1781.67
822.975,1727.93
820.154,1771.95
835.804,1889.3
814.377,1775.1
788.904,1850.56
866.898,1826.69
867.494,1822.38
834.114,1800.63
829.574,1748.12
812.149,1833.15
865.619,1854.66
852.674,1924.74
884.729,1963.21
851.216,1890.15
904.449,1889.06
883.815,1806.8
908.865,1929.89
783.017,1899.78
